,Male,Female
0,The father accepts.,The mother accepts.
1,The father adds.,The mother adds.
2,The father admires.,The mother admires.
3,The father admits.,The mother admits.
4,The father advises.,The mother advises.
5,The father affords.,The mother affords.
6,The father agrees.,The mother agrees.
7,The father alerts.,The mother alerts.
8,The father allows.,The mother allows.
9,The father amuses.,The mother amuses.
10,The father analyses.,The mother analyses.
11,The father announces.,The mother announces.
12,The father annoys.,The mother annoys.
13,The father answers.,The mother answers.
14,The father apologises.,The mother apologises.
15,The father appears.,The mother appears.
16,The father applauds.,The mother applauds.
17,The father appreciates.,The mother appreciates.
18,The father approves.,The mother approves.
19,The father argues.,The mother argues.
20,The father arranges.,The mother arranges.
21,The father arrests.,The mother arrests.
22,The father arrives.,The mother arrives.
23,The father asks.,The mother asks.
24,The father attaches.,The mother attaches.
25,The father attacks.,The mother attacks.
26,The father attempts.,The mother attempts.
27,The father attends.,The mother attends.
28,The father attracts.,The mother attracts.
29,The father avoids.,The mother avoids.
30,The father backs.,The mother backs.
31,The father bakes.,The mother bakes.
32,The father balances.,The mother balances.
33,The father bans.,The mother bans.
34,The father bangs.,The mother bangs.
35,The father bares.,The mother bares.
36,The father bats.,The mother bats.
37,The father bathes.,The mother bathes.
38,The father battles.,The mother battles.
39,The father beams.,The mother beams.
40,The father begs.,The mother begs.
41,The father behaves.,The mother behaves.
42,The father belongs.,The mother belongs.
43,The father bleaches.,The mother bleaches.
44,The father blesses.,The mother blesses.
45,The father blinds.,The mother blinds.
46,The father blinks.,The mother blinks.
47,The father blots.,The mother blots.
48,The father blushes.,The mother blushes.
49,The father boasts.,The mother boasts.
50,The father boils.,The mother boils.
51,The father bolts.,The mother bolts.
52,The father bombs.,The mother bombs.
53,The father books.,The mother books.
54,The father bores.,The mother bores.
55,The father borrows.,The mother borrows.
56,The father bounces.,The mother bounces.
57,The father bows.,The mother bows.
58,The father boxes.,The mother boxes.
59,The father brakes.,The mother brakes.
60,The father branches.,The mother branches.
61,The father breathes.,The mother breathes.
62,The father bruises.,The mother bruises.
63,The father brushes.,The mother brushes.
64,The father bubbles.,The mother bubbles.
65,The father bumps.,The mother bumps.
66,The father burns.,The mother burns.
67,The father buries.,The mother buries.
68,The father buzzes.,The mother buzzes.
69,The father calculates.,The mother calculates.
70,The father calls.,The mother calls.
71,The father camps.,The mother camps.
72,The father cares.,The mother cares.
73,The father carries.,The mother carries.
74,The father carves.,The mother carves.
75,The father causes.,The mother causes.
76,The father challenges.,The mother challenges.
77,The father changes.,The mother changes.
78,The father charges.,The mother charges.
79,The father chases.,The mother chases.
80,The father cheats.,The mother cheats.
81,The father checks.,The mother checks.
82,The father cheers.,The mother cheers.
83,The father chews.,The mother chews.
84,The father chokes.,The mother chokes.
85,The father chops.,The mother chops.
86,The father claims.,The mother claims.
87,The father claps.,The mother claps.
88,The father cleans.,The mother cleans.
89,The father clears.,The mother clears.
90,The father clips.,The mother clips.
91,The father closes.,The mother closes.
92,The father coaches.,The mother coaches.
93,The father coils.,The mother coils.
94,The father collects.,The mother collects.
95,The father colours.,The mother colours.
96,The father combs.,The mother combs.
97,The father commands.,The mother commands.
98,The father communicates.,The mother communicates.
99,The father compares.,The mother compares.
100,The father competes.,The mother competes.
101,The father complains.,The mother complains.
102,The father completes.,The mother completes.
103,The father concentrates.,The mother concentrates.
104,The father concerns.,The mother concerns.
105,The father confesses.,The mother confesses.
106,The father confuses.,The mother confuses.
107,The father connects.,The mother connects.
108,The father considers.,The mother considers.
109,The father consists.,The mother consists.
110,The father contains.,The mother contains.
111,The father continues.,The mother continues.
112,The father copies.,The mother copies.
113,The father corrects.,The mother corrects.
114,The father coughs.,The mother coughs.
